X,Y,Name,Longitude,Latitude,Altitude (,Comments,Support He,Support Ty,of UL CEs,of DL CEs,Max Iub UL,Max Iub DL,Equipment,of EV-DO C,Max Backha,Max Backha_1,Alias,Operator,ID_Vtal,Name_2,icon_url
-46.681600000029,-23.5262999988426,Claro_690196423,-46,-23,,R TURIASSU,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.677130000029,-23.5200499988428,Claro_1008537796,-46,-23,,AV MARQUES DE SAO VICENTE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.755600000029,-23.6520299988384,Claro_1007911945,-46,-23,,R DOUTOR BUENO DE AZEVEDO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.765160000029,-23.665039998838,Claro_2744147,-46,-23,,R JOÃO DE GOIS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6545600000291,-23.546849998842,Claro_683887807,-46,-23,,R PÍAUI,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6347400000292,-23.5525199988418,Claro_683912127,-46,-23,,LARGO SETE DE SETEMBRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6334000000292,-23.546499998842,Claro_687372682,-46,-23,,R XV DE NOVEMBRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.673940000029,-23.5349299988423,Claro_379968371,-46,-23,,R MINERVA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6511000000291,-23.5369999988423,Claro_2163993,-46,-23,,R DAS PALMEIRAS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6664400000291,-23.5307699988424,Claro_3152707,-46,-23,,R LINCOLN ALBUQUERQUE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6064000000293,-23.5335999988425,Claro_534896871,-46,-23,,R SANTA CLARA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6716700000291,-23.5474999988419,Claro_1010112217,-46,-23,,"RUA ALMIRANTE PEREIRA GUIMARAES, 192, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6549000000292,-23.5629699988414,Claro_1015182256,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6376500000292,-23.5420799988421,Claro_696683075,-46,-23,,R ANTÔNIO DE GODOI,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6446700000292,-23.5673399988413,Claro_683136216,-46,-23,,R TREZE DE MAIO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.687140000029,-23.5670099988412,Claro_684151774,-46,-23,,R DOS PINHEIROS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6522200000292,-23.5613799988415,Claro_684338033,-46,-23,,AL RIO CLARO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6664600000291,-23.5647899988413,Claro_683893629,-46,-23,,R AUGUSTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6244100000292,-23.5447699988421,Claro_687663628,-46,-23,,R DO GASÔMETRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6542200000291,-23.544839998842,Claro_683889192,-46,-23,,AV HIGIENÓPOLIS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6382300000292,-23.5486999988419,Claro_683895133,-46,-23,,R SÃO FRANCISCO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7297280000291,-23.6492259988385,Claro_442514778,-46,-23,,"AV MARIA COELHO AGUIAR, 215/ BLOCO  G, JARDIM SÃO LUIS",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6497600000291,-23.5314099988425,Claro_683941798,-46,-23,,ALAMEDA BARÃO DE LIMEIRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
